sample,gt,bud,treatment,rep,date,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08
1,cals8:icals3m,top,CK,2,15.01.20,1,1,1.5,2,3,3.5,4.5,4.5,4.5
2,cals8:icals3m,top,CK,2,15.01.20,1,1,1,1.5,1.5,2,3.5,4.5,6
3,cals8:icals3m,top,CK,2,15.01.20,1,1.5,2,3,5,7.5,12.5,18,25
4,cals8:icals3m,top,CK,2,15.01.20,1,1,1.5,2.5,5,9,18,22,30
5,cals8:icals3m,top,CK,2,15.01.20,1,1.5,2.5,4,6.5,12,21,30,40
6,cals8:icals3m,top,CK,2,15.01.20,1,1.5,2,3.5,5.5,10,16,24,34
7,cals8:icals3m,top,CK,2,15.01.20,1,1.5,2,2,3.5,5.5,9,15,23
8,cals8:icals3m,top,CK,2,15.01.20,1,1,1.5,2,2.5,3.5,5,6,7
9,cals8:icals3m,top,CK,2,15.01.20,1,1,2,3.5,4,4.5,7.5,11,18
10,cals8:icals3m,top,CK,2,15.01.20,1,1,1.5,2,2.5,3,4,5,7.5
11,cals8:icals3m,top,CK,2,15.01.20,1,1,1.5,2,2.5,3.5,3.5,5,8.5
12,cals8:icals3m,top,CK,2,15.01.20,1,1.5,1.5,2.5,3,4,4.5,5,6.5
13,cals8:icals3m,top,CK,2,15.01.20,1,1.5,1.5,2,3.5,4,5.5,8.5,14.5
14,cals8:icals3m,top,CK,2,15.01.20,1,1,1,1.5,2.5,3,4,5.5,8
15,cals8:icals3m,top,CK,2,15.01.20,1.5,2,2.5,4,6,8,10,12.5,15.5
16,cals8:icals3m,top,CK,2,15.01.20,1,1.5,1.5,3.5,5.5,9,21,28,39.5
17,cals8:icals3m,top,CK,2,15.01.20,1.5,1.5,2,3.5,4.5,6,11,18,24
18,cals8:icals3m,top,CK,2,15.01.20,1,1,1.5,2.5,3.5,6,11,19,23.5
19,cals8:icals3m,top,CK,2,15.01.20,1,1.5,2.5,4,6,11,20,25.5,38
20,cals8:icals3m,top,CK,2,15.01.20,1,1.5,2,2.5,3,4.5,8,13.5,22
21,cals8:icals3m,top,CK,2,15.01.20,1.5,2,3,4.5,8,16,26,30,36.5
22,cals8:icals3m,top,CK,2,15.01.20,1,1.5,2,3,4,7,13.5,20,31
23,cals8:icals3m,top,CK,2,15.01.20,1.5,1.5,3,4.5,6.5,10,18.5,24,31.5
24,cals8:icals3m,top,CK,2,15.01.20,1.5,2,2.5,4.5,6.5,11,19.5,28.5,38
25,cals8:icals3m,top,CK,2,15.01.20,1,1.5,2,3,4,4,6.5,9.5,15
26,cals8:icals3m,top,CK,2,15.01.20,1.5,1.5,2,2.5,3,3.5,4,4,4
27,cals8:icals3m,top,CK,2,15.01.20,1.5,2,2.5,2.5,3,4.5,5,7.5,8
28,cals8:icals3m,top,CK,2,15.01.20,1.5,1.5,2.5,3.5,4,5.5,7.5,8,9.5
29,cals8:icals3m,top,CK,2,15.01.20,1.5,2,3,3.5,4,4.5,7,11,15
1,cals8:icals3m,top,CK.EST,2,15.01.20,1,1,1.5,1.5,2.5,5,9,15,24
2,cals8:icals3m,top,CK.EST,2,15.01.20,1,1.5,2.5,4,8,12.5,18.5,25,37
3,cals8:icals3m,top,CK.EST,2,15.01.20,1,1,1.5,2.5,3.5,5,6.5,9,13
4,cals8:icals3m,top,CK.EST,2,15.01.20,1,1.5,3,3.5,4,5.5,7,9,10
5,cals8:icals3m,top,CK.EST,2,15.01.20,1,1,1.5,1.5,2,4.5,7,11.5,18
6,cals8:icals3m,top,CK.EST,2,15.01.20,1,1.5,1.5,3,4,4.5,6.5,10,15.5
7,cals8:icals3m,top,CK.EST,2,15.01.20,1.5,2.5,3.5,5.5,11,18,26.5,39,51.5
8,cals8:icals3m,top,CK.EST,2,15.01.20,1,1,1.5,2,3,3.5,5.5,8,11.5
9,cals8:icals3m,top,CK.EST,2,15.01.20,1,1,1,2,3,4,7.5,14,21
10,cals8:icals3m,top,CK.EST,2,15.01.20,1.5,1.5,2.5,4,7,10,14,20,26.5
11,cals8:icals3m,top,CK.EST,2,15.01.20,1,1,1,1.5,2,3,4.5,8,16
12,cals8:icals3m,top,CK.EST,2,15.01.20,1.5,2,3,4.5,5.5,8,11.5,17,24.5
13,cals8:icals3m,top,CK.EST,2,15.01.20,1,1.5,1.5,2.5,3,4,6,9,14
14,cals8:icals3m,top,CK.EST,2,15.01.20,1,1,1.5,3,4.5,7,12,21.5,31
15,cals8:icals3m,top,CK.EST,2,15.01.20,1,1.5,2,3.5,5.5,10,18,28.5,40
16,cals8:icals3m,top,CK.EST,2,15.01.20,1,1,1.5,2,2.5,3,4,5,6
17,cals8:icals3m,top,CK.EST,2,15.01.20,1,1.5,2,3,3,4.5,8.5,17,26.5
18,cals8:icals3m,top,CK.EST,2,15.01.20,1,1.5,2,3.5,5.5,10,19,25,33
19,cals8:icals3m,top,CK.EST,2,15.01.20,1.5,2,3,3.5,4.5,8,11.5,18,25
20,cals8:icals3m,top,CK.EST,2,15.01.20,1.5,2,3,4,4.5,6,9,14,18
21,cals8:icals3m,top,CK.EST,2,15.01.20,1,1.5,1.5,2,2.5,3.5,5.5,6,6.5
