sample,gt,bud,treatment,rep,date,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08
1,Col-0,top,CK,2,15.01.20,1,1,1,1,1,1.5,2,3,4.5
2,Col-0,top,CK,2,15.01.20,1,1.5,2,2,2.5,2.5,2.5,3,3.5
3,Col-0,top,CK,2,15.01.20,1,1,2,2.5,3.5,3.5,4,6,9.5
4,Col-0,top,CK,2,15.01.20,1,1,1.5,1.5,1.5,2,3.5,5.5,11
5,Col-0,top,CK,2,15.01.20,1,1,1.5,1.5,1.5,1.5,2.5,3,3
6,Col-0,top,CK,2,15.01.20,1,1.5,2.5,3,3.5,4.5,5,8.5,13.5
7,Col-0,top,CK,2,15.01.20,1,1,1.5,2.5,5.5,9.5,17,27,40.5
8,Col-0,top,CK,2,15.01.20,1,1,1,1.5,2.5,3,4,5,7.5
9,Col-0,top,CK,2,15.01.20,1,1,1.5,1.5,2.5,4,6,10,17
10,Col-0,top,CK,2,15.01.20,1,1,1.5,1.5,2.5,3.5,5,7,12
11,Col-0,top,CK,2,15.01.20,1,1,1.5,2.5,3,4.5,7.5,14.5,20
12,Col-0,top,CK,2,15.01.20,1,1.5,2,2.5,3.5,5.5,8,14.5,23.5
13,Col-0,top,CK,2,15.01.20,1,1,1.5,1.5,2.5,3.5,7.5,12,19
14,Col-0,top,CK,2,15.01.20,1.5,1.5,1.5,2.5,3.5,4,4.5,6,8
15,Col-0,top,CK,2,15.01.20,1,1,1.5,3,4,5.5,9,16,26.5
16,Col-0,top,CK,2,15.01.20,1,1.5,2.5,4,5,8,13,22.5,30.5
17,Col-0,top,CK,2,15.01.20,1,1,2,3.5,5.5,8,14,24.5,33
18,Col-0,top,CK,2,15.01.20,1.5,1.5,2,3.5,4,6,11,19,30
19,Col-0,top,CK,2,15.01.20,1.5,2.5,4,6,10,18,28,36.5,47
20,Col-0,top,CK,2,15.01.20,1,1.5,2,2.5,3.5,5,6.5,9,14
21,Col-0,top,CK,2,15.01.20,1,1.5,1.5,2.5,4,7.5,12.5,20,30.5
22,Col-0,top,CK,2,15.01.20,1,1,1.5,2,3,3,3.5,3.5,3.5
23,Col-0,top,CK,2,15.01.20,1,1.5,2,3.5,4,6,10,16,26
24,Col-0,top,CK,2,15.01.20,1.5,2,2.5,3.5,5,12.5,14,19.5,30
25,Col-0,top,CK,2,15.01.20,1.5,1.5,2.5,4,6,10,19,28,41
26,Col-0,top,CK,2,15.01.20,1,1,1.5,2,2.5,3.5,4.5,6,6.5
27,Col-0,top,CK,2,15.01.20,1.5,1.5,2,4,5,7.5,13,20.5,31
28,Col-0,top,CK,2,15.01.20,1,1.5,1.5,2.5,3,3,3.5,4.5,4.5
29,Col-0,top,CK,2,15.01.20,1.5,1.5,2,3.5,4,4,4,6.5,7.5
30,Col-0,top,CK,2,15.01.20,1.5,2,2.5,4.5,6.5,10.5,16.5,26.5,38
31,Col-0,top,CK,2,15.01.20,1,1.5,2.5,3,4,5,5,5,5
1,Col-0,top,CK.EST,2,15.01.20,1,1,1.5,2.5,3.5,5.5,9,15,24
2,Col-0,top,CK.EST,2,15.01.20,1.5,1.5,2.5,3.5,5.5,9,14,20,30
3,Col-0,top,CK.EST,2,15.01.20,1,1,1.5,2,3,3.5,3.5,4.5,6.5
4,Col-0,top,CK.EST,2,15.01.20,1,2,4,8.5,17.5,26,33,37,37
5,Col-0,top,CK.EST,2,15.01.20,1.5,2,2.5,4.5,8,14.5,24,33,45
6,Col-0,top,CK.EST,2,15.01.20,1.5,1.5,2,3,4,6,11,19,30.5
7,Col-0,top,CK.EST,2,15.01.20,1.5,1.5,2,3,3.5,4,5,7,10.5
8,Col-0,top,CK.EST,2,15.01.20,1,1.5,2,3,3.5,4,6.5,10,17
9,Col-0,top,CK.EST,2,15.01.20,1,1,1.5,3,4,6.5,10,16,24
10,Col-0,top,CK.EST,2,15.01.20,1,1,1,1,1.5,2,2.5,2.5,2.5
11,Col-0,top,CK.EST,2,15.01.20,1,1.5,1.5,2,2.5,3,5,8,16.5
12,Col-0,top,CK.EST,2,15.01.20,1,1,2,3,4,6.5,11.5,18.5,27.5
13,Col-0,top,CK.EST,2,15.01.20,1,1.5,1.5,2.5,3.5,6,10,19.5,27
14,Col-0,top,CK.EST,2,15.01.20,1.5,1.5,2,3,3.5,5.5,9,17,29
15,Col-0,top,CK.EST,2,15.01.20,1.5,1.5,2,3,4,6,13,24,36
16,Col-0,top,CK.EST,2,15.01.20,1,1,1,1.5,2.5,3,5,6,6
17,Col-0,top,CK.EST,2,15.01.20,1.5,1.5,2,2.5,4.5,5.5,8,14.5,23
18,Col-0,top,CK.EST,2,15.01.20,1,1.5,1.5,2.5,3,3.5,5,7,12
19,Col-0,top,CK.EST,2,15.01.20,1,1,1.5,2,3,4.5,6.5,10.5,18
20,Col-0,top,CK.EST,2,15.01.20,1.5,1.5,2,3.5,4.5,5,7,11.5,19
21,Col-0,top,CK.EST,2,15.01.20,1,1,1.5,3,4,7,12.5,22,30
22,Col-0,top,CK.EST,2,15.01.20,1,1,2,2.5,4,6,9.5,14.5,22
23,Col-0,top,CK.EST,2,15.01.20,1,1,2,3,4,6,9.5,17,24
24,Col-0,top,CK.EST,2,15.01.20,1,1.5,2,3,4,5,7.5,11,18
25,Col-0,top,CK.EST,2,15.01.20,1,1.5,1.5,3,4.5,5.5,10,18,25
26,Col-0,top,CK.EST,2,15.01.20,1,1,1.5,2,2.5,2.5,3.5,3.5,4
27,Col-0,top,CK.EST,2,15.01.20,1,1,1.5,2.5,3.5,5.5,12,22.5,30
28,Col-0,top,CK.EST,2,15.01.20,1,1.5,1.5,2.5,3,5,5,9,10
29,Col-0,top,CK.EST,2,15.01.20,1,1.5,2,2,4,5.5,10.5,20,28.5
30,Col-0,top,CK.EST,2,15.01.20,1,1,1,1.5,2.5,3,3.5,4,5
31,Col-0,top,CK.EST,2,15.01.20,1.5,1.5,3,3.5,5.5,7.5,10.5,13.5,19.5
