sample,gt,bud,treatment,rep,date,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08
1,sAPL:icals3m,top,CK,2,15.01.20,1.5,1.5,2.5,3,5,8,13,19,26
2,sAPL:icals3m,top,CK,2,15.01.20,1,1.5,2.5,3,3.5,4.5,5,7.5,10
3,sAPL:icals3m,top,CK,2,15.01.20,1,1,1.5,2.5,4,6,9.5,15,20
4,sAPL:icals3m,top,CK,2,15.01.20,1.5,1.5,2.5,3,4.5,7,11,17.5,26
5,sAPL:icals3m,top,CK,2,15.01.20,1,1,1.5,2.5,5,10,16.5,25,34
6,sAPL:icals3m,top,CK,2,15.01.20,1.5,1.5,2,3,5.5,10,17,25,34.5
7,sAPL:icals3m,top,CK,2,15.01.20,1.5,2,3,4,7,14,23.5,32,43
8,sAPL:icals3m,top,CK,2,15.01.20,1,1,1.5,2.5,4,7,13,21,30
9,sAPL:icals3m,top,CK,2,15.01.20,1,1,2,2.5,3.5,4,5,5.5,6
10,sAPL:icals3m,top,CK,2,15.01.20,1,1,1,1,1.5,2.5,3,3.5,4.5
11,sAPL:icals3m,top,CK,2,15.01.20,1,1,1,1.5,1.5,3.5,8,18,25
12,sAPL:icals3m,top,CK,2,15.01.20,1,1,1.5,2.5,3.5,4,5.5,8,14
13,sAPL:icals3m,top,CK,2,15.01.20,1.5,1.5,2.5,3.5,6,12.5,19,27.5,33
14,sAPL:icals3m,top,CK,2,15.01.20,1.5,2,3.5,6,12,22.5,34,47,56
15,sAPL:icals3m,top,CK,2,15.01.20,1,1.5,2.5,3.5,7.5,15,23,31,35
16,sAPL:icals3m,top,CK,2,15.01.20,1,1.5,2,3,5,8.5,15,22,28
17,sAPL:icals3m,top,CK,2,15.01.20,1.5,1.5,2,3,6,11,16.5,27,39.5
18,sAPL:icals3m,top,CK,2,15.01.20,1.5,2,2.5,3,3.5,4.5,4.5,5,5
19,sAPL:icals3m,top,CK,2,15.01.20,1,1,2,3.5,5.5,11,18,28,41
20,sAPL:icals3m,top,CK,2,15.01.20,1,1.5,1.5,2,3,4.5,7,11.5,18.5
21,sAPL:icals3m,top,CK,2,15.01.20,1,1.5,2,3,4,5.5,7,10,15
22,sAPL:icals3m,top,CK,2,15.01.20,1,1,1.5,1.5,2.5,3,3.5,3.5,3.5
23,sAPL:icals3m,top,CK,2,15.01.20,1.5,1.5,1.5,2.5,3,5,7,12,20
24,sAPL:icals3m,top,CK,2,15.01.20,1,1.5,1.5,3,4.5,8.5,14,22.5,35
25,sAPL:icals3m,top,CK,2,15.01.20,1.5,1.5,2,2.5,4,6,9.5,13.5,21.5
26,sAPL:icals3m,top,CK,2,15.01.20,1.5,1.5,2,3,4,7,11,19,28.5
27,sAPL:icals3m,top,CK,2,15.01.20,1,1,1.5,2.5,4,5.5,10,18.5,26.5
