sample,gt,bud,treatment,rep,date,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08
1,cals8:icals3m,top,DMSO,1,25.11.19,1,1,1.5,2,2,2.5,3,5,5.5
1,cals8:icals3m,bottom,DMSO,1,25.11.19,1,1,1.5,1.5,2,3,5,6.5,11
2,cals8:icals3m,top,DMSO,1,25.11.19,1,1,1.5,2,2.5,3.5,5,10,16
2,cals8:icals3m,bottom,DMSO,1,25.11.19,1,1,1.5,2,2.5,4,6,11.5,17.5
3,cals8:icals3m,top,DMSO,1,25.11.19,1,1.5,1.5,2.5,3.5,4.5,8,18,28
3,cals8:icals3m,bottom,DMSO,1,25.11.19,1.5,1.5,1.5,2.5,3.5,4.5,8,14.5,23
4,cals8:icals3m,top,DMSO,1,25.11.19,1.5,1.5,1.5,2,3,3,4,8.5,13.5
4,cals8:icals3m,bottom,DMSO,1,25.11.19,1.5,1.5,2,2.5,4,5,11,19,30
5,cals8:icals3m,top,DMSO,1,25.11.19,1,1,1.5,1.5,2,2,3.5,4,6
5,cals8:icals3m,bottom,DMSO,1,25.11.19,1,1,1,1.5,3,4,7.5,14,22.5
6,cals8:icals3m,top,DMSO,1,25.11.19,1.5,1.5,2,2,2.5,3.5,6.5,13.5,22
6,cals8:icals3m,bottom,DMSO,1,25.11.19,1.5,1.5,2,2.5,3.5,4.5,9.5,17.5,26.5
7,cals8:icals3m,top,DMSO,1,25.11.19,1,1,1.5,1.5,2,3.5,5.5,14,13.5
7,cals8:icals3m,bottom,DMSO,1,25.11.19,1,1,1,2,2.5,4,6,12,17.5
8,cals8:icals3m,top,DMSO,1,25.11.19,1.5,1.5,2,2.5,3,5,6,8,8.5
8,cals8:icals3m,bottom,DMSO,1,25.11.19,1.5,1.5,2.5,3,4,5,5.5,6.5,9
9,cals8:icals3m,top,DMSO,1,25.11.19,1,1,1.5,2,2,3,4,9,16
9,cals8:icals3m,bottom,DMSO,1,25.11.19,1,1,1.5,2,3,4,6,11,15
