sample,gt,bud,treatment,rep,date,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08
1,Col-0,top,DMSO,1,12.10.19,1,1,1,1,1,1.5,1.5,2,2
1,Col-0,bottom,DMSO,1,12.10.19,1,1,1,1,1.5,2,3.5,6.5,8.5
2,Col-0,top,DMSO,1,12.10.19,1,1,1,1,2,4,7,12.5,16.5
2,Col-0,bottom,DMSO,1,12.10.19,1,1.5,1.5,2,4,8,16,27,33
3,Col-0,top,DMSO,1,12.10.19,1,1,1,1,1.5,2,4,5,16
3,Col-0,bottom,DMSO,1,12.10.19,1,1,1,1,1.5,3.5,6.5,9.5,14.5
4,Col-0,top,DMSO,1,12.10.19,1,1,1,1,1,1,1.5,2,2.5
4,Col-0,bottom,DMSO,1,12.10.19,1,1,1,1,1.5,3.5,5.5,6,6
5,Col-0,top,DMSO,1,12.10.19,1,1,1,1,1.5,2.5,3,6.5,15.5
5,Col-0,bottom,DMSO,1,12.10.19,1,1,1,1,1.5,2,3,4,4.5
6,Col-0,top,DMSO,1,12.10.19,1.5,1.5,2,2,2,3,5,8.5,20.5
6,Col-0,bottom,DMSO,1,12.10.19,1,1,1.5,2,2.5,4.5,6,6,6
7,Col-0,top,DMSO,1,12.10.19,1,1.5,1.5,1.5,1.5,1.5,3.5,4,4.5
7,Col-0,bottom,DMSO,1,12.10.19,1,1,1,1,2,4,7,12,22
8,Col-0,top,DMSO,1,12.10.19,1,1,1,1,2,3.5,6,10.5,19
8,Col-0,bottom,DMSO,1,12.10.19,1,1,1,1.5,2,4,6.5,10,18
9,Col-0,top,DMSO,1,12.10.19,1,1,1,1,1,2,2.5,3,4.5
9,Col-0,bottom,DMSO,1,12.10.19,1,1,1,1,1,1,1,1.5,3
10,Col-0,top,DMSO,1,12.10.19,1.5,1.5,1.5,1.5,2,2.5,3,4,4
10,Col-0,bottom,DMSO,1,12.10.19,1,1,1,1.5,2,3.5,5,6,9
11,Col-0,top,DMSO,1,12.10.19,1.5,1.5,1.5,2,3,3,4,6,11
11,Col-0,bottom,DMSO,1,12.10.19,1.5,1.5,1.5,2,2.5,4.5,6.5,11,22
12,Col-0,top,DMSO,1,12.10.19,1.5,1.5,1.5,2,2,2,3.5,3.5,7
12,Col-0,bottom,DMSO,1,12.10.19,1.5,1.5,1.5,2,3,3.5,5,5.5,7.5
13,Col-0,top,DMSO,1,12.10.19,1.5,1.5,2,2.5,3,3.5,4,4,4
13,Col-0,bottom,DMSO,1,12.10.19,1,1.5,1.5,2.5,4,6.5,8,13.5,26
14,Col-0,top,DMSO,1,12.10.19,1.5,1.5,2,2,3.5,4.5,7,14,25
14,Col-0,bottom,DMSO,1,12.10.19,1,1.5,1.5,2,4.5,6,9,18,30.5
15,Col-0,top,DMSO,1,12.10.19,1,1,1.5,1.5,1.5,3,4,5,6
15,Col-0,bottom,DMSO,1,12.10.19,1,1,1,1.5,2.5,5,6.5,10,17
16,Col-0,top,DMSO,1,12.10.19,1.5,1.5,1.5,2,3.5,5.5,9.5,18.5,30.5
16,Col-0,bottom,DMSO,1,12.10.19,1,1.5,2,2.5,4,5.5,8,16,27.5
17,Col-0,top,DMSO,1,12.10.19,1,1,1.5,1.5,2.5,4.5,5,6,6
17,Col-0,bottom,DMSO,1,12.10.19,1,1,1.5,2.5,5.5,8,13.5,26,39
18,Col-0,top,DMSO,1,12.10.19,1,1,1,1.5,2,3.5,6,13,20
18,Col-0,bottom,DMSO,1,12.10.19,1,1,1,1.5,4,7,12,23.5,35.5
19,Col-0,top,DMSO,1,12.10.19,1,1,1,1.5,2,2.5,4,8,17
19,Col-0,bottom,DMSO,1,12.10.19,1,1,1,1,1.5,4,4.5,5.5,7.5
20,Col-0,top,DMSO,1,12.10.19,1,1,1,1.5,1.5,3,3.5,5.5,8.5
20,Col-0,bottom,DMSO,1,12.10.19,1,1.5,1.5,2,3.5,5.5,6.5,10.5,18
21,Col-0,top,DMSO,1,12.10.19,1,1,1.5,2,3.5,6,8.5,17.5,29
21,Col-0,bottom,DMSO,1,12.10.19,1,1,1.5,2,3.5,5.5,6.5,11.5,18
22,Col-0,top,DMSO,1,12.10.19,1,1.5,1.5,2,2,3.5,5.5,10.5,19
22,Col-0,bottom,DMSO,1,12.10.19,1,1,1,1,1.5,3,4.5,8,18
23,Col-0,top,DMSO,1,12.10.19,1,1,1.5,2,2,3,3.5,4,4
23,Col-0,bottom,DMSO,1,12.10.19,1,1,1.5,2.5,3.5,7,12.5,22.5,33.5
24,Col-0,top,DMSO,1,12.10.19,1,1,1.5,1.5,2,3,5.5,10,28.5
24,Col-0,bottom,DMSO,1,12.10.19,1,1,1.5,1.5,1.5,3.5,4.5,6,11
25,Col-0,top,DMSO,1,12.10.19,1.5,1.5,1.5,2,2.5,4,5.5,12.5,23
25,Col-0,bottom,DMSO,1,12.10.19,0.5,0.5,1.5,2,3.5,5,5.5,6,6.5
26,Col-0,top,DMSO,1,12.10.19,1,1,1,1,1.5,3,6,10.5,20
26,Col-0,bottom,DMSO,1,12.10.19,1,1,1,1,1.5,4,8.5,16.5,26.5
27,Col-0,top,DMSO,1,12.10.19,1,1,1,1.5,2,2.5,3,5,11
27,Col-0,bottom,DMSO,1,12.10.19,1,1,1,1.5,2.5,5,8,14,24
1,Col-0,top,EST,1,12.10.19,1,1,1,1,1,1.5,2,3.5,6.5
1,Col-0,bottom,EST,1,12.10.19,0.5,1,1,1,1.5,1.5,1.5,2.5,3
2,Col-0,top,EST,1,12.10.19,1,1,1,2,2,2.5,4,6.5,13.5
2,Col-0,bottom,EST,1,12.10.19,1,1,1,1,2,2,3,4.5,6.5
3,Col-0,top,EST,1,12.10.19,1,1,1,1,1.5,1.5,2.5,4.5,8.5
3,Col-0,bottom,EST,1,12.10.19,1,1,1,1,1,1.5,2,2,2
