sample,gt,bud,treatment,rep,date,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08
1,sAPL:icals3m,top,DMSO,1,12.10.19,0.5,0.5,1,1,1,1.5,3,6.5,12
1,sAPL:icals3m,bottom,DMSO,1,12.10.19,0.5,0.5,1,1,1.5,4.5,9,15,25
2,sAPL:icals3m,top,DMSO,1,12.10.19,1,1,1,1,1,1.5,3,3,3
2,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1,1,1,2.5,5,7,12.5,18.5
3,sAPL:icals3m,top,DMSO,1,12.10.19,1,1,1.5,1.5,2,5.5,14.5,24.5,30
3,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1,1,1.5,2,4,7.5,12,12
4,sAPL:icals3m,top,DMSO,1,12.10.19,1,1.5,1.5,1.5,1.5,3.5,5,8,13
4,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1.5,1.5,1.5,2.5,5,8,15.5,22
5,sAPL:icals3m,top,DMSO,1,12.10.19,1.5,1.5,1.5,1.5,1.5,3,7.5,17.4,26
5,sAPL:icals3m,bottom,DMSO,1,12.10.19,1.5,1.5,2,2,2,2.5,3.5,4.5,4.5
6,sAPL:icals3m,top,DMSO,1,12.10.19,1,1,1,1,1,1.5,1.5,2.5,3.5
6,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1,1,1.5,1.5,3.5,5,9.5,15.5
7,sAPL:icals3m,top,DMSO,1,12.10.19,1,1,1,1,1.5,3.5,5.5,7.5,14
7,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1,1,1,2.5,4.5,7,11,20.5
8,sAPL:icals3m,top,DMSO,1,12.10.19,1.5,1.5,1.5,1.5,2,4.5,6,8,14.5
8,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1,1.5,1.5,1.5,3.5,3.5,3.5,3.5
9,sAPL:icals3m,top,DMSO,1,12.10.19,1,1.5,1.5,1.5,1.5,2,2,2.5,3
9,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1,1,1.5,2.5,4.5,10,18.5,34
10,sAPL:icals3m,top,DMSO,1,12.10.19,1,1,1,1.5,1.5,2.5,4,5.5,10.5
10,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1,1,1.5,2,2.5,3.5,5,12.5
11,sAPL:icals3m,top,DMSO,1,12.10.19,1.5,1.5,1.5,1.5,3.5,5,7.5,12.5,22
11,sAPL:icals3m,bottom,DMSO,1,12.10.19,1.5,1.5,1.5,1.5,4.5,6.5,12,18.5,31
12,sAPL:icals3m,top,DMSO,1,12.10.19,1,1,1,1,1.5,2,3,4,6
12,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1,1,1.5,2,3.5,6.5,12,24
13,sAPL:icals3m,top,DMSO,1,12.10.19,1,1,1,1,1,2.5,2.5,2.5,3
13,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1,1,1,1,2.5,3,3,4
14,sAPL:icals3m,top,DMSO,1,12.10.19,1,1,1,1.5,2.5,3.5,5,9.5,11.5
14,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1,1.5,1.5,2.5,4,6.5,14,24
15,sAPL:icals3m,top,DMSO,1,12.10.19,1,1,1,1.5,2,3,4.5,8,12.5
15,sAPL:icals3m,bottom,DMSO,1,12.10.19,0.5,1,1,1,2,3,5,8,14.5
16,sAPL:icals3m,top,DMSO,1,12.10.19,1,1,1,1.5,2,4.5,4.5,6.5,6.5
16,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1,1,2,4,7.5,12.5,25.5,39
17,sAPL:icals3m,top,DMSO,1,12.10.19,1,1,1,1,1.5,1.5,2,2,2.5
17,sAPL:icals3m,bottom,DMSO,1,12.10.19,0.5,1,1,1,1.5,2,3,5,5.5
18,sAPL:icals3m,top,DMSO,1,12.10.19,1,1,1,1,1,1.5,3.5,3.5,4
18,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1,1,1,1.5,2,2.5,6.5,13
19,sAPL:icals3m,top,DMSO,1,12.10.19,1,1,1,1.5,2,4,5,5.5,6.5
19,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1,1,1.5,3,5.5,9,20.5,34.5
20,sAPL:icals3m,top,DMSO,1,12.10.19,1,1,1.5,1.5,1.5,4,5.5,9,16
20,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1,1,1.5,2.5,5.5,7,24,24.5
21,sAPL:icals3m,top,DMSO,1,12.10.19,1.5,1.5,1.5,2.5,3.5,5,6.5,11.5,19
21,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1,2,2.5,3.5,4.5,6,7.5,12
22,sAPL:icals3m,top,DMSO,1,12.10.19,1,1,1,1,1.5,2.5,3.5,5,8
22,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1,1,1.5,1.5,3.5,5,6.5,12
23,sAPL:icals3m,top,DMSO,1,12.10.19,1,1,1,1.5,2.5,3.5,5,9,18
23,sAPL:icals3m,bottom,DMSO,1,12.10.19,1,1.5,1.5,2,2,3.5,5.5,7,7.5
24,sAPL:icals3m,top,DMSO,1,12.10.19,1,1,1,1,1.5,2.5,3.5,6.5,11
