sample,gt,bud,treatment,rep,date,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08
1,brc1-2 sAPL:icals3m,top,CK,5,21.1.20,1,1,1.5,2,2,2.5,3.5,4.5,5
1,brc1-2 sAPL:icals3m,bottom,CK,5,21.1.20,1,1,1.5,2,2.5,3.5,4.5,8,11.5
2,brc1-2 sAPL:icals3m,top,CK,5,21.1.20,1,1.5,1.5,1.5,2,4,6,10,16.5
2,brc1-2 sAPL:icals3m,bottom,CK,5,21.1.20,1,1,1.5,2.5,3,5,7.5,14.5,23.5
3,brc1-2 sAPL:icals3m,top,CK,5,21.1.20,1.5,1.5,1.5,2,3,4.5,7,11,15.5
3,brc1-2 sAPL:icals3m,bottom,CK,5,21.1.20,1.5,1.5,2,2.5,3,4,5,6,8
4,brc1-2 sAPL:icals3m,top,CK,5,21.1.20,1,1,1.5,1.5,2,3,4.5,6.5,8.5
4,brc1-2 sAPL:icals3m,bottom,CK,5,21.1.20,1,1,1.5,2.5,3,4.5,6.5,10.5,17.5
5,brc1-2 sAPL:icals3m,top,CK,5,21.1.20,1,1.5,1.5,2.5,2.5,4,5,7.5,11.5
5,brc1-2 sAPL:icals3m,bottom,CK,5,21.1.20,1,1,2,3,4,6,10,16,23
6,brc1-2 sAPL:icals3m,top,CK,5,21.1.20,1,1.5,1.5,2.5,3,3,3.5,4,4.5
6,brc1-2 sAPL:icals3m,bottom,CK,5,21.1.20,1,1.5,1.5,3,3.5,5,7.5,13,23.5
7,brc1-2 sAPL:icals3m,top,CK,5,21.1.20,1,1.5,1.5,2.5,2.5,3.5,5,9.5,16
7,brc1-2 sAPL:icals3m,bottom,CK,5,21.1.20,1.5,1.5,1.5,3,4.5,7,12.5,18.5,26.5
8,brc1-2 sAPL:icals3m,top,CK,5,21.1.20,1.5,1.5,1.5,2.5,3.5,5,9.5,17.5,26
8,brc1-2 sAPL:icals3m,bottom,CK,5,21.1.20,1.5,1.5,2,4.5,6,9,12.5,19.5,26
9,brc1-2 sAPL:icals3m,top,CK,5,21.1.20,1,1,1,3,3,4.5,5,10,15.5
