sample,gt,bud,treatment,rep,date,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08
1,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1.5,1.5,1.5,2,2.5,3,3.5,8
1,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1.5,1.5,2,2.5,3.5,7.5,9.5,21
2,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1.5,1.5,1.5,2,2.5,3.5,3.5,6.5
2,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1.5,1.5,1.5,3,4.5,7,9,21
3,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1.5,2,2,2.5,3.5,5.5,8,22
3,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1.5,2,2.5,3.5,5,10,14,29
4,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1.5,1.5,2.5,3,4,7.5,15.5
4,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1.5,1.5,2.5,5,7,12,22,33.5
5,d14 sAPL:icals3m,top,CK,5,20.11.19,1.5,1.5,2,2,2.5,3,4,4,11
5,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1.5,2,2,3,3.5,6,8,19
6,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1,1,1,1,2,2.5,2.5
6,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1,1.5,1.5,2.5,3,5.5,7,17.5
7,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1,1,1,1,1.5,1.5,2.5
7,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1,1,1,1.5,1.5,2.5,3,6
8,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1.5,1.5,1.5,2,3,3,3
8,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1,1.5,2,2.5,4,8,10,20
9,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1,1.5,1.5,2.5,3,4,6
9,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1,1.5,2,3,5,7,12,18
10,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1,1,1.5,1.5,1.5,1.5,1.5
10,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1.5,2,3,4,7.5,9.5,20,26
11,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1.5,1.5,1.5,2,2,2.5,2.5
11,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1,1.5,2.5,3.5,6.5,10,19,25
12,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1,1,1,1,1,1.5,1.5
12,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1,1,1.5,2,2,3,8,16
13,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1,1,1,1,1,2,3
13,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1,1,1.5,2,2,3,7,11
14,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1,1,1,1.5,2,2.5,2.5
14,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1,1,1.5,1.5,2.5,3.5,7.5,15
15,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1,1,1,1,1.5,3,4.5
15,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1,1,1,1.5,2.5,3,8,13.5
16,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1,1,1,1,1.5,2,2.5
16,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1,1,1.5,2,3.5,3.5,5.5,8
17,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1,1,2,3,3,6.5,11
17,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1.5,1.5,2,3,4.5,6,11,16.5
18,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1,1,1,2,2.5,2.5,2.5
18,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1,1.5,1.5,2,3.5,4,9,14
19,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1,1,1,1,1,1.5,1.5
19,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1,1,1,1.5,2,3,4.5,8
20,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1,2,2,3,3.5,7,12
20,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1.5,1.5,2,3,4,7,9.5,19,26
21,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1.5,2,3,3.5,3.5,3.5,3.5
21,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1,1.5,3,4,5.5,6.5,13.5,20
22,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1,1,1,1.5,2,2,2
22,d14 sAPL:icals3m,bottom,CK,5,20.11.19,1,1,1,1,1.5,2.5,2.5,3,3
23,d14 sAPL:icals3m,top,CK,5,20.11.19,1,1,1,1,1,1.5,1.5,1.5,1.5
