sample,gt,bud,treatment,rep,date,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08
1,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1,1,1,1,1,1.5
1,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1,1.5,2,3,5,8,23
2,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1,1,1,1.5,1.5,1.5
2,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1.5,1.5,2,3,3.5,8,12,27
3,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,2,2.5,3,3,3,3
3,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1,3,6,12,18,30,44
4,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1.5,1.5,2,2,2.5,3.5,3.5,3.5
4,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1.5,2,2.5,5,8,14,23,37
5,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1,1,1,1,1,1.5
5,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1,1,1,1,1.5,1.5,2
6,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1,1,1,1,1.5,2
6,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1.5,2,2,4,4,5.5,6
7,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1,1,1.5,1.5,1.5,1.5
7,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1,2,2,4,5.5,16,24
8,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1,1,1,1,1,1
8,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1,1,1.5,2,2.5,5,5.5
9,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1,1.5,2.5,3,4,4
9,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1,1.5,1.5,3,3.5,6,9
10,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1.5,1.5,1.5,2,2.5,2.5
10,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1,2,2,3.5,4,9,14
11,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1,1,1,1,2,2.5
11,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1.5,1.5,1.5,2,2,2,4,6.5
12,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1.5,1.5,1.5,1.5,2,2,2,2
12,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1.5,1.5,1.5,2,2,2.5,2.5,2.5,2.5
13,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1.5,1.5,1.5,2,2,2,2,2,2
13,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1.5,1.5,2,4,5.5,12.5,19,36,47
14,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1.5,1.5,2,2.5,2.5,2.5,2.5
14,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1.5,2,4.5,7,12,21,33.5
15,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1,1,1,1,2,2
15,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1,1,1.5,2,2,4,6
16,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1.5,1.5,2,2.5,3.5,7,15
16,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1.5,1.5,1.5,2.5,2.5,2.5,2.5,3
17,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1,1,1.5,2,2,2.5
17,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1,1.5,2,2,3,6.5,12.5
18,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1.5,1.5,2,2,2,2,2.5,2.5,2.5
18,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1.5,1.5,1.5,1.5,2,2,3,4.5,9
19,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1.5,1.5,1.5,2,2,3,4
19,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1.5,1.5,2,2,4,7,11.5
