sample,gt,bud,treatment,rep,date,day_00,day_01,day_02,day_03,day_04,day_05,day_06 ,day_07,day_08
1,cals8:icals3m,top,CK,4,14.12.17,1.5,1.5,2,2,2.5,3.5,4,4.5,4.5
1,cals8:icals3m,bottom,CK,4,14.12.17,2,2,2,3,5,5.5,8,12.5,21
2,cals8:icals3m,top,CK,4,14.12.17,1,1.5,2,2,2,2,3,5.5,11
2,cals8:icals3m,bottom,CK,4,14.12.17,1.5,1.5,2,2,2.5,2.5,2.5,3,4
3,cals8:icals3m,top,CK,4,14.12.17,1,1.5,1.5,1.5,1.5,1.5,2,2,2
3,cals8:icals3m,bottom,CK,4,14.12.17,1.5,1.5,1.5,2,2.5,2.5,2.5,2.5,3.5
4,cals8:icals3m,top,CK,4,14.12.17,1,1,1,1,1,1,1,1,1
4,cals8:icals3m,bottom,CK,4,14.12.17,1,1,1.5,2,2,3,5.5,10,18
5,cals8:icals3m,top,CK,4,14.12.17,1.5,1.5,2,2,2,2,3,3,5
5,cals8:icals3m,bottom,CK,4,14.12.17,2,2,3,3.5,4.5,4.5,4.5,4.5,4.5
6,cals8:icals3m,top,CK,4,14.12.17,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2
6,cals8:icals3m,bottom,CK,4,14.12.17,1.5,1.5,2,2,3,4.5,9,16,24
7,cals8:icals3m,top,CK,4,14.12.17,1.5,1.5,2,2,2,2.5,3.5,4,4.5
7,cals8:icals3m,bottom,CK,4,14.12.17,1.5,1.5,2,2,3,3.5,3.5,3.5,3.5
8,cals8:icals3m,top,CK,4,14.12.17,1.5,1.5,1.5,2,2.5,2.5,2.5,2.5,2.5
8,cals8:icals3m,bottom,CK,4,14.12.17,1.5,1.5,1.5,2,3,5,8,13.5,23
9,cals8:icals3m,top,CK,4,14.12.17,1,1,1,1,1.5,1.5,1.5,1.5,2.5
9,cals8:icals3m,bottom,CK,4,14.12.17,1,1,1.5,1.5,2,2.5,2.5,2.5,2.5
10,cals8:icals3m,top,CK,4,14.12.17,1.5,1.5,1.5,2,2.5,2.5,4,7,11
10,cals8:icals3m,bottom,CK,4,14.12.17,1.5,2,2,2.5,3.5,5,7.5,11.5,18
11,cals8:icals3m,top,CK,4,14.12.17,1,1,1.5,1.5,1.5,1.5,2,2.5,3
11,cals8:icals3m,bottom,CK,4,14.12.17,1.5,1.5,1.5,2,2,2.5,3,5,10
12,cals8:icals3m,top,CK,4,14.12.17,1,1,1,1,1,1.5,1.5,1.5,1.5
