sample,gt,bud,treatment,rep,date,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08
1,Col-0,top,CK,7,22.01.20,1,1,1.5,1.5,2.5,3,3.5,4,4
1,Col-0,bottom,CK,7,22.01.20,1,1,1.5,2,3.5,4.5,7,10.5,17
2,Col-0,top,CK,7,22.01.20,1,1.5,2,3,3.5,5,5.5,7.5,12
2,Col-0,bottom,CK,7,22.01.20,1,1,1.5,2,2.5,3.5,4,4.5,4.5
3,Col-0,top,CK,7,22.01.20,1,1,2,2,2.5,3,4.5,9,16
3,Col-0,bottom,CK,7,22.01.20,1.5,1.5,2,2.5,3,3.5,3.5,3.5,4
4,Col-0,top,CK,7,22.01.20,1,1.5,2,2.5,3,4,6.5,11.5,17
4,Col-0,bottom,CK,7,22.01.20,1,1.5,2.5,3,4.5,6.5,12,19,28
5,Col-0,top,CK,7,22.01.20,1,1,1,1,1.5,2.5,3,3,3.5
5,Col-0,bottom,CK,7,22.01.20,1,1,1.5,1.5,2,3,3.5,5,7
6,Col-0,top,CK,7,22.01.20,1,1,1.5,1.5,1.5,2,2,2,2.5
6,Col-0,bottom,CK,7,22.01.20,1.5,2,2,3,4,6,9,14,24.5
7,Col-0,top,CK,7,22.01.20,1,1.5,1.5,2,2.5,3,3,3.5,3.5
7,Col-0,bottom,CK,7,22.01.20,1,1.5,2,2,3.5,4.5,6,10,17.5
8,Col-0,top,CK,7,22.01.20,1,1.5,1.5,1.5,3.5,4.5,6.5,11.5,20
8,Col-0,bottom,CK,7,22.01.20,1,1.5,2,2.5,4,5,6,8.5,14.5
9,Col-0,top,CK,7,22.01.20,1,1.5,2,2.5,3.5,5,6.5,11.5,20.5
9,Col-0,bottom,CK,7,22.01.20,1.5,2.5,2.5,3.5,4.5,5,7,11.5,19.5
10,Col-0,top,CK,7,22.01.20,1,1.5,2,2,3.5,5,5,8.5,14
10,Col-0,bottom,CK,7,22.01.20,1,1.5,2,3,4,5.5,7.5,10,15.5
11,Col-0,top,CK,7,22.01.20,1,2,2,3,4,6,8.5,13.5,20
11,Col-0,bottom,CK,7,22.01.20,1,1.5,2,2.5,4,5.5,7.5,12.5,20.5
12,Col-0,top,CK,7,22.01.20,1.5,1.5,1.5,2,2,2.5,3.5,4,4
12,Col-0,bottom,CK,7,22.01.20,1.5,1.5,1.5,2,2.5,3,3.5,4,4.5
13,Col-0,top,CK,7,22.01.20,1,1,1.5,1.5,2,2.5,3,3.5,4
13,Col-0,bottom,CK,7,22.01.20,1,1.5,1.5,2,3,4,5,6,6.5
14,Col-0,top,CK,7,22.01.20,1,1.5,1.5,2.5,3,3.5,3.5,3.5,4
14,Col-0,bottom,CK,7,22.01.20,1,1.5,1.5,2.5,3.5,3.5,4.5,4.5,5
15,Col-0,top,CK,7,22.01.20,1,1.5,1.5,2,2.5,3,3,3,3.5
15,Col-0,bottom,CK,7,22.01.20,1,1.5,2,2.5,3.5,4.5,7.5,13,21.5
16,Col-0,top,CK,7,22.01.20,1,1,1,1.5,2,2.5,2.5,2.5,3
16,Col-0,bottom,CK,7,22.01.20,1,1.5,1.5,2,3,4.5,5.5,8.5,14
17,Col-0,top,CK,7,22.01.20,1,1.5,1.5,2,2.5,3.5,3.5,3.5,3.5
17,Col-0,bottom,CK,7,22.01.20,1,1.5,1.5,2,3,4,4.5,7.5,13
18,Col-0,top,CK,7,22.01.20,1,1,1.5,2.5,3.5,4.5,5,5,5.5
18,Col-0,bottom,CK,7,22.01.20,1,1.5,2,3,4,6.5,10,17.5,22.5
19,Col-0,top,CK,7,22.01.20,1,1.5,1.5,1.5,2.5,3,3,3,3
19,Col-0,bottom,CK,7,22.01.20,1,1.5,1.5,2,3,5.5,7,13,21
20,Col-0,top,CK,7,22.01.20,1,1,1.5,1.5,2,2.5,3,4,4.5
20,Col-0,bottom,CK,7,22.01.20,1,1.5,2,2,3,4.5,6,10,16.5
21,Col-0,top,CK,7,22.01.20,1.5,1.5,1.5,2,2.5,3,4,5,7
21,Col-0,bottom,CK,7,22.01.20,1.5,2,2,3,4.5,6.5,9,16,27.5
22,Col-0,top,CK,7,22.01.20,1.5,1.5,1.5,2,2.5,3,3.5,3.5,3.5
22,Col-0,bottom,CK,7,22.01.20,1.5,1.5,2,3,4,6.5,11,19,32
23,Col-0,top,CK,7,22.01.20,1.5,1.5,1.5,2.5,2.5,4,5.5,6,6
23,Col-0,bottom,CK,7,22.01.20,1.5,1.5,2,3.5,4.5,6,7,7,8
24,Col-0,top,CK,7,22.01.20,1,1,1.5,1.5,2.5,2.5,3,3,3
24,Col-0,bottom,CK,7,22.01.20,1,1,1.5,2,3,4,6,11,21.5
25,Col-0,top,CK,7,22.01.20,1,1,1,2,2.5,3,4,4.5,9.5
25,Col-0,bottom,CK,7,22.01.20,1,1,1.5,2.5,3,4,4.5,7.5,14
26,Col-0,top,CK,7,22.01.20,1.5,1.5,2,3,4.5,6.5,11,18.5,27
26,Col-0,bottom,CK,7,22.01.20,1.5,2,2,3,4,5.5,8.5,12.5,22
27,Col-0,top,CK,7,22.01.20,1.5,1.5,2,3.5,4.5,6,8,14.5,24.5
27,Col-0,bottom,CK,7,22.01.20,1.5,2,2,3.5,4.5,7,11,20,33
28,Col-0,top,CK,7,22.01.20,1,1,1.5,2.5,2.5,3,3,3.5,3.5
28,Col-0,bottom,CK,7,22.01.20,1,1,1.5,2.5,3.5,4.5,5,5,8
29,Col-0,top,CK,7,22.01.20,1.5,1.5,2,3,3.5,3.5,5.5,9.5,18
