sample,gt,bud,treatment,rep,date,day_00,day_01,day_02,day_03,day_04,day_05,day_06 ,day_07,day_08
1,sAPL:icals3m,top,CK,5,5.12.17,1,1,1,1,1,1.5,2,2,2
1,sAPL:icals3m,bottom,CK,5,5.12.17,1,1,1.5,1.5,2.5,2.5,3,3,3
2,sAPL:icals3m,top,CK,5,5.12.17,1,1,1,1,1.5,1.5,1.5,1.5,1.5
2,sAPL:icals3m,bottom,CK,5,5.12.17,1,1,1,1.5,2.5,4,7.5,15,25
3,sAPL:icals3m,top,CK,5,5.12.17,1,1.5,1.5,1.5,1.5,1.5,1.5,2,3
3,sAPL:icals3m,bottom,CK,5,5.12.17,1,1.5,1.5,2,2.5,3,5,7,12.5
4,sAPL:icals3m,top,CK,5,5.12.17,1,1,1.5,1.5,1.5,2,2,2.5,2.5
4,sAPL:icals3m,bottom,CK,5,5.12.17,1,1,1.5,2,2,2.5,2.5,2.5,2.5
5,sAPL:icals3m,top,CK,5,5.12.17,1,1,1,1,1.5,1.5,2.5,4,8
5,sAPL:icals3m,bottom,CK,5,5.12.17,1,1.5,1.5,2,2.5,4,8,15,23
6,sAPL:icals3m,top,CK,5,5.12.17,1,1,1.5,1.5,2,2,2,2,2.5
6,sAPL:icals3m,bottom,CK,5,5.12.17,1,1,1.5,2,2.5,4,7,13,19
7,sAPL:icals3m,top,CK,5,5.12.17,1,1,1.5,1.5,1.5,1.5,1.5,1.5,2
7,sAPL:icals3m,bottom,CK,5,5.12.17,1,1,1.5,1.5,2,3.5,7,14,24
8,sAPL:icals3m,top,CK,5,5.12.17,1.5,1.5,1.5,2,2,2,2,2,2.5
8,sAPL:icals3m,bottom,CK,5,5.12.17,1.5,2,2,2,2.5,3,3,3,3
9,sAPL:icals3m,top,CK,5,5.12.17,1,1,1,1,1.5,2,2,2,2.5
9,sAPL:icals3m,bottom,CK,5,5.12.17,1,1.5,1.5,2,2.5,3.5,7.5,15,22
10,sAPL:icals3m,top,CK,5,5.12.17,1.5,2,2,2,2,3,4.5,9,18
10,sAPL:icals3m,bottom,CK,5,5.12.17,2,2.5,3,3.5,5.5,7,12,23,33
11,sAPL:icals3m,top,CK,5,5.12.17,1.5,1.5,1.5,2,2,2.5,3,3,3
11,sAPL:icals3m,bottom,CK,5,5.12.17,1.5,2,2,3,4.5,8.5,17.5,26,34
12,sAPL:icals3m,top,CK,5,5.12.17,1.5,1.5,2,2,2.5,3,3,4,4.5
12,sAPL:icals3m,bottom,CK,5,5.12.17,1.5,2,2.5,3,3.5,3.5,3.5,4,4.5
13,sAPL:icals3m,top,CK,5,5.12.17,1,1,1.5,1.5,1.5,1.5,2.5,5,8
13,sAPL:icals3m,bottom,CK,5,5.12.17,1.5,1.5,2,2,2,2.5,4,5,12
14,sAPL:icals3m,top,CK,5,5.12.17,1,1,1,1.5,2,2.5,2.5,3,3.5
14,sAPL:icals3m,bottom,CK,5,5.12.17,1,1,1,2,3.5,5.5,10,16,23
15,sAPL:icals3m,top,CK,5,5.12.17,1.5,2,2,2.5,2.5,3.5,4,4,4.5
15,sAPL:icals3m,bottom,CK,5,5.12.17,1.5,2,2.5,2.5,3.5,5,8,10,26.5
16,sAPL:icals3m,top,CK,5,5.12.17,1.5,2,2,2,2,2.5,3.5,5,7
16,sAPL:icals3m,bottom,CK,5,5.12.17,1.5,2,2,3,4.5,7.5,14,22,29
17,sAPL:icals3m,top,CK,5,5.12.17,1.5,1.5,1.5,2,3,5,9,16,25
17,sAPL:icals3m,bottom,CK,5,5.12.17,1.5,1.5,2,3.5,6,10.5,18,27,37
18,sAPL:icals3m,top,CK,5,5.12.17,2,2,2.5,2.5,2.5,3,3.5,4,5
